filepath,organism,type,element,isotope,condition,replicate
feature_lists/20180409_RLUS135312ACED0-1_seen.mzml_chromatograms_deconvoluted.csv,RLUS1353,f,C,12,ACE,1
feature_lists/20180409_RLUS135312ACED0-2_seen.mzml_chromatograms_deconvoluted.csv,RLUS1353,f,C,12,ACE,2
feature_lists/20180409_RLUS135312ACED0-3_seen.mzml_chromatograms_deconvoluted.csv,RLUS1353,f,C,12,ACE,3
feature_lists/20180409_RLUS135312ACED0-4_seen.mzml_chromatograms_deconvoluted.csv,RLUS1353,f,C,12,ACE,4
feature_lists/20180409_RLUS135314GLUD0-1_seen.mzml_chromatograms_deconvoluted.csv,RLUS1353,f,C,12,GLU,1
feature_lists/20180409_RLUS135314GLUD0-2_seen.mzml_chromatograms_deconvoluted.csv,RLUS1353,f,C,12,GLU,2
feature_lists/20180409_RLUS135314GLUD0-3_seen.mzml_chromatograms_deconvoluted.csv,RLUS1353,f,C,12,GLU,3
feature_lists/20180409_RLUS135314GLUD0-4_seen.mzml_chromatograms_deconvoluted.csv,RLUS1353,f,C,12,GLU,4
mzmls/20180409_RLUS135312ACED0-1_seen.mzml,RLUS1353,s,C,12,ACE,1
mzmls/20180409_RLUS135312ACED0-2_seen.mzml,RLUS1353,s,C,12,ACE,2
mzmls/20180409_RLUS135312ACED0-3_seen.mzml,RLUS1353,s,C,12,ACE,3
mzmls/20180409_RLUS135312ACED0-4_seen.mzml,RLUS1353,s,C,12,ACE,4
mzmls/20180409_RLUS135314GLUD0-1_seen.mzml,RLUS1353,s,C,12,GLU,1
mzmls/20180409_RLUS135314GLUD0-2_seen.mzml,RLUS1353,s,C,12,GLU,2
mzmls/20180409_RLUS135314GLUD0-3_seen.mzml,RLUS1353,s,C,12,GLU,3
mzmls/20180409_RLUS135314GLUD0-4_seen.mzml,RLUS1353,s,C,12,GLU,4
mzmls/20180410_RLUS135313ACED0-1_seen.mzml,RLUS1353,s,C,13,ACE,1
mzmls/20180410_RLUS135313ACED0-2_seen.mzml,RLUS1353,s,C,13,ACE,2
mzmls/20180410_RLUS135313ACED0-3_seen.mzml,RLUS1353,s,C,13,ACE,3
mzmls/20180410_RLUS135313ACED0-4_seen.mzml,RLUS1353,s,C,13,ACE,4
mzmls/20180410_RLUS135315GLUD0-1_seen.mzml,RLUS1353,s,N,15,GLU,1
mzmls/20180410_RLUS135315GLUD0-2_seen.mzml,RLUS1353,s,N,15,GLU,2
mzmls/20180410_RLUS135315GLUD0-3_seen.mzml,RLUS1353,s,N,15,GLU,3
mzmls/20180410_RLUS135315GLUD0-4_seen.mzml,RLUS1353,s,N,15,GLU,4